iter	Passed	Remaining
0	0	34
1	0	35
2	0	31
3	1	26
4	1	26
5	1	25
6	1	24
7	2	24
8	2	23
9	2	23
10	2	22
11	3	22
12	3	21
13	3	21
14	3	21
15	3	20
16	4	20
17	4	20
18	4	19
19	4	19
20	5	19
21	5	18
22	5	18
23	5	18
24	6	18
25	6	17
26	6	17
27	6	17
28	6	16
29	7	16
30	7	16
31	7	16
32	7	15
33	8	15
34	8	15
35	8	15
36	8	14
37	9	14
38	9	14
39	9	14
40	9	14
41	9	13
42	10	13
43	10	13
44	10	12
45	10	12
46	11	12
47	11	12
48	11	12
49	11	11
50	12	11
51	12	11
52	12	11
53	12	11
54	13	10
55	13	10
56	13	10
57	13	10
58	14	9
59	14	9
60	14	9
61	14	9
62	15	9
63	15	8
64	15	8
65	16	8
66	16	8
67	16	7
68	16	7
69	17	7
70	17	7
71	17	6
72	17	6
73	17	6
74	18	6
75	18	5
76	18	5
77	19	5
78	19	5
79	19	4
80	19	4
81	20	4
82	20	4
83	20	3
84	20	3
85	21	3
86	21	3
87	21	2
88	21	2
89	22	2
90	22	2
91	22	1
92	22	1
93	23	1
94	23	1
95	23	0
96	24	0
97	24	0
98	25	0
99	25	0
