iter	Passed	Remaining
0	3	3808
1	4	2083
2	4	1475
3	4	1209
4	5	1024
5	5	891
6	5	798
7	5	727
8	6	670
9	6	625
10	6	589
11	6	558
12	7	532
13	7	510
14	7	490
15	7	472
16	7	457
17	8	446
18	8	434
19	8	423
20	8	415
21	9	406
22	9	398
23	9	391
24	9	384
25	10	377
26	10	371
27	10	365
28	10	359
29	10	354
30	11	350
31	11	345
32	11	342
33	11	338
34	12	334
35	12	332
36	12	330
37	12	327
38	13	326
39	13	326
40	13	326
41	14	323
42	14	321
43	14	319
44	14	317
45	15	315
46	15	315
47	15	314
48	16	312
49	16	310
50	16	308
51	16	306
52	17	304
53	17	302
54	17	300
55	17	299
56	17	297
57	18	295
58	18	294
59	18	292
60	18	290
61	19	289
62	19	287
63	19	286
64	19	284
65	20	283
66	20	282
67	20	280
68	20	279
69	20	278
70	21	277
71	21	277
72	21	276
73	22	275
74	22	274
75	22	274
76	22	273
77	23	272
78	23	271
79	23	270
80	23	269
81	23	268
82	24	265
83	24	264
84	24	263
85	24	263
86	25	262
87	25	261
88	25	260
89	25	260
90	26	259
91	26	259
92	26	258
93	26	257
94	26	256
95	27	256
96	27	255
97	27	254
98	27	253
99	28	252
100	28	252
101	28	252
102	28	251
103	29	251
104	29	251
105	30	253
106	30	254
107	30	254
108	31	253
109	31	253
110	31	253
111	31	252
112	32	252
113	32	251
114	32	251
115	32	250
116	33	249
117	33	248
118	33	248
119	33	248
120	34	247
121	34	246
122	34	245
123	34	245
124	34	244
125	35	244
126	35	242
127	35	242
128	35	242
129	36	241
130	36	241
131	36	240
132	36	240
133	37	239
134	37	239
135	37	238
136	37	238
137	38	238
138	38	238
139	38	239
140	39	239
141	39	239
142	39	239
143	40	240
144	40	240
145	41	240
146	41	240
147	41	240
148	42	240
149	42	240
150	42	240
151	43	240
152	43	240
153	44	242
154	44	244
155	45	247
156	46	247
157	46	247
158	46	247
159	46	246
160	47	245
161	47	245
162	47	244
163	47	244
164	48	243
165	48	243
166	48	242
167	49	243
168	49	243
169	49	242
170	49	242
171	50	241
172	50	241
173	50	241
174	51	241
175	51	241
176	51	240
177	52	240
178	52	240
179	52	240
180	53	239
181	53	239
182	53	239
183	53	239
184	54	238
185	54	238
186	54	238
187	55	237
188	55	237
189	55	236
190	55	236
191	56	235
192	56	235
193	56	234
194	56	234
195	57	233
196	57	233
197	57	232
198	57	232
199	58	232
200	58	232
201	59	233
202	59	233
203	59	232
204	59	232
205	60	231
206	60	231
207	60	230
208	60	230
209	61	229
210	61	229
211	61	228
212	61	228
213	62	227
214	62	227
215	62	227
216	62	226
217	62	225
218	63	225
219	63	224
220	63	224
221	63	223
222	64	223
223	64	222
224	64	222
225	64	221
226	65	221
227	65	220
228	65	220
229	65	219
230	65	219
231	66	218
232	66	218
233	66	218
234	66	217
235	67	217
236	67	216
237	67	216
238	67	216
239	68	215
240	68	215
241	68	214
242	68	214
243	69	214
244	69	213
245	69	213
246	69	212
247	70	212
248	70	212
249	70	211
250	70	211
251	71	210
252	71	210
253	71	210
254	71	209
255	72	209
256	72	209
257	72	208
258	72	208
259	73	207
260	73	207
261	73	207
262	73	206
263	74	206
264	74	206
265	74	205
266	74	205
267	75	205
268	75	204
269	75	204
270	76	204
271	76	204
272	76	203
273	76	203
274	77	203
275	77	203
276	77	202
277	77	202
278	78	201
279	78	201
280	78	201
281	78	200
282	79	200
283	79	199
284	79	199
285	79	199
286	80	198
287	80	198
288	80	198
289	80	197
290	80	197
291	81	196
292	81	196
293	81	196
294	81	195
295	82	195
296	82	195
297	82	194
298	82	194
299	83	194
300	83	193
301	83	193
302	83	193
303	84	192
304	84	192
305	84	191
306	84	191
307	85	191
308	85	190
309	85	190
310	85	190
311	86	189
312	86	189
313	86	189
314	86	188
315	87	188
316	87	188
317	87	187
318	87	187
319	88	187
320	88	186
321	88	186
322	88	186
323	89	185
324	89	185
325	89	185
326	89	184
327	90	184
328	90	184
329	90	184
330	90	183
331	91	183
332	91	183
333	91	182
334	91	182
335	92	182
336	92	181
337	92	181
338	92	181
339	93	180
340	93	180
341	93	180
342	93	179
343	94	179
344	94	179
345	94	178
346	94	178
347	95	178
348	95	177
349	95	177
350	95	177
351	95	176
352	96	176
353	96	176
354	96	175
355	96	175
356	97	175
357	97	174
358	97	174
359	98	174
360	98	173
361	98	173
362	98	173
363	98	172
364	99	172
365	99	172
366	99	172
367	100	171
368	100	171
369	100	171
370	100	170
371	100	170
372	101	170
373	101	169
374	101	169
375	101	169
376	102	168
377	102	168
378	102	168
379	102	167
380	103	167
381	103	167
382	103	167
383	103	166
384	104	166
385	104	166
386	104	165
387	104	165
388	105	165
389	105	164
390	105	164
391	105	164
392	106	164
393	106	163
394	106	163
395	106	163
396	107	162
397	107	162
398	107	162
399	107	161
400	108	161
401	108	161
402	108	160
403	108	160
404	109	160
405	109	160
406	109	159
407	109	159
408	110	159
409	110	158
410	110	158
411	110	158
412	111	157
413	111	157
414	111	157
415	111	157
416	112	156
417	112	156
418	112	156
419	112	155
420	113	155
421	113	155
422	113	154
423	113	154
424	114	154
425	114	154
426	114	153
427	114	153
428	115	153
429	115	152
430	115	152
431	115	152
432	116	151
433	116	151
434	116	151
435	116	151
436	117	150
437	117	150
438	117	150
439	117	149
440	117	149
441	118	149
442	118	148
443	118	148
444	118	148
445	119	148
446	119	147
447	119	147
448	119	147
449	120	146
450	120	146
451	120	146
452	120	145
453	121	145
454	121	145
455	121	145
456	121	144
457	122	144
458	122	144
459	122	144
460	122	143
461	123	143
462	123	143
463	123	142
464	124	142
465	124	142
466	124	142
467	124	141
468	124	141
469	125	141
470	125	140
471	125	140
472	125	140
473	126	140
474	126	139
475	126	139
476	126	139
477	127	138
478	127	138
479	127	138
480	127	138
481	128	137
482	128	137
483	128	137
484	128	136
485	129	136
486	129	136
487	129	136
488	129	135
489	130	135
490	130	135
491	130	134
492	130	134
493	131	134
494	131	134
495	131	133
496	131	133
497	132	133
498	132	132
499	132	132
500	132	132
501	133	132
502	133	131
503	133	131
504	133	131
505	134	130
506	134	130
507	134	130
508	134	130
509	134	129
510	135	129
511	135	129
512	135	128
